card_tp,issur_card_lvl2,card_typ_cd,card_lv_cd,card_typ_lv_cd
CLASSIC,CLASSIC,10,1,101
GOLD,GOLD,10,2,102
PLATINUM,PLATINUM,10,3,103
SIGNATURE,SIGNATURE,10,4,104
Infinite,INFINITE,10,5,105
Amway,PLATINUM,11,3,113
BDMS,PLATINUM,12,3,123
CGA,PLATINUM,13,3,133
Corp,PLATINUM,14,3,143
KING POWER,PLATINUM,15,3,153
KING POWER,SIGNATURE,15,4,154
Line,PLATINUM,16,3,163
MUANG THAI SMILE CREDIT,PLATINUM,17,3,173
MUANG THAI SMILE CREDIT,SIGNATURE,17,4,174
One Siam,INFINITE,18,5,185
One Siam,PLATINUM,18,3,183
One Siam,SIGNATURE,18,4,184
Passion,SIGNATURE,19,4,194
PTT,PLATINUM,20,3,203
Shopee,PLATINUM,21,3,213
SME,PLATINUM,22,3,223
THAMMASAT,PLATINUM,23,3,233
Wisdom,SIGNATURE,24,4,244
